NJ,fte1,fte2,w1,GAP
1,13.5,12.5,4.25,0.18823529411764703
1,28.0,38.5,4.25,0.18823529411764703
1,21.5,20.0,4.5,0.12222222222222218
1,,21.0,4.25,0.18823529411764703
1,24.0,32.0,4.5,0.12222222222222218
1,20.5,19.0,4.25,0.18823529411764703
1,,20.0,4.5,0.12222222222222218
1,23.5,26.5,4.25,0.18823529411764703
1,23.0,19.0,4.25,0.18823529411764703
1,17.0,20.0,4.25,0.18823529411764703
1,20.5,22.5,4.25,0.18823529411764703
1,23.5,10.0,4.25,0.18823529411764703
1,9.5,12.5,4.25,0.18823529411764703
1,10.0,11.0,4.25,0.18823529411764703
1,14.0,12.5,4.25,0.18823529411764703
1,85.0,59.0,4.75,0.06315789473684207
1,15.0,19.0,4.75,0.06315789473684207
1,21.5,15.5,4.4,0.1477272727272726
1,53.0,19.0,4.62,0.09307359307359302
1,24.0,26.5,4.25,0.18823529411764703
1,20.5,17.5,4.25,0.18823529411764703
1,14.5,20.5,4.25,0.18823529411764703
1,25.0,28.0,4.25,0.18823529411764703
1,27.0,30.25,4.25,0.18823529411764703
1,22.5,44.0,4.75,0.06315789473684207
1,36.5,17.5,4.75,0.06315789473684207
1,17.25,31.0,4.25,0.18823529411764703
1,21.5,31.0,4.25,0.18823529411764703
1,24.5,28.5,4.75,0.06315789473684207
1,19.0,19.0,4.5,0.12222222222222218
1,25.0,41.0,4.25,0.18823529411764703
1,16.0,28.0,4.25,0.18823529411764703
1,19.0,9.5,4.5,0.12222222222222218
1,22.75,25.0,4.5,0.12222222222222218
1,35.0,28.0,4.5,0.12222222222222218
1,16.0,16.0,4.75,0.06315789473684207
1,21.0,22.75,4.62,0.09307359307359302
1,26.75,,4.25,0.18823529411764703
1,30.5,32.0,4.25,0.18823529411764703
1,23.0,27.5,4.5,0.12222222222222218
1,21.5,25.5,4.75,0.06315789473684207
1,36.5,60.5,4.25,0.18823529411764703
1,23.0,20.5,4.8,0.052083333333333336
1,14.0,16.0,4.5,0.12222222222222218
1,17.25,25.0,4.67,0.08137044967880083
1,18.5,13.0,4.87,0.03696098562628331
1,8.5,9.0,4.5,0.12222222222222218
1,14.0,16.5,4.5,0.12222222222222218
1,23.0,21.0,4.75,0.06315789473684207
1,29.0,21.5,4.75,0.06315789473684207
1,19.0,20.0,4.25,0.18823529411764703
1,21.0,21.25,4.25,0.18823529411764703
1,17.0,21.5,4.75,0.06315789473684207
1,36.0,31.0,4.85,0.041237113402061897
1,25.0,33.0,4.75,0.06315789473684207
1,29.5,37.75,4.62,0.09307359307359302
1,22.0,9.0,4.25,0.18823529411764703
1,11.0,11.0,4.25,0.18823529411764703
1,13.5,12.75,4.5,0.12222222222222218
1,13.5,10.5,4.5,0.12222222222222218
1,18.0,22.0,4.62,0.09307359307359302
1,9.5,8.0,4.5,0.12222222222222218
1,24.0,25.0,4.75,0.06315789473684207
1,14.5,12.5,4.75,0.06315789473684207
1,29.0,22.5,4.87,0.03696098562628331
1,10.5,11.5,4.5,0.12222222222222218
1,18.0,23.5,4.25,0.18823529411764703
1,,30.0,4.25,0.18823529411764703
1,9.0,16.5,4.35,0.1609195402298851
1,33.0,29.0,4.25,0.18823529411764703
1,19.5,30.0,4.5,0.12222222222222218
1,41.0,22.5,4.25,0.18823529411764703
1,17.0,24.0,4.25,0.18823529411764703
1,18.25,21.75,4.25,0.18823529411764703
1,17.0,13.5,4.75,0.06315789473684207
1,32.0,24.0,4.62,0.09307359307359302
1,26.0,28.5,4.25,0.18823529411764703
1,11.5,10.0,4.5,0.12222222222222218
1,21.0,23.5,4.5,0.12222222222222218
1,22.75,30.5,4.5,0.12222222222222218
1,18.5,24.75,4.55,0.10989010989010989
1,20.0,22.5,4.62,0.09307359307359302
1,18.0,28.0,4.5,0.12222222222222218
1,10.5,14.0,4.25,0.18823529411764703
1,10.5,9.0,4.25,0.18823529411764703
1,11.0,9.5,4.35,0.1609195402298851
1,10.5,15.5,4.25,0.18823529411764703
1,12.5,12.0,4.25,0.18823529411764703
1,18.0,11.5,4.6,0.09782608695652178
1,17.0,12.5,4.25,0.18823529411764703
1,15.0,16.0,4.75,0.06315789473684207
1,19.5,28.5,4.75,0.06315789473684207
1,13.0,15.0,4.25,0.18823529411764703
1,20.25,23.5,4.5,0.12222222222222218
1,26.0,30.5,4.5,0.12222222222222218
1,15.5,26.5,4.25,0.18823529411764703
1,24.0,27.0,4.75,0.06315789473684207
1,25.5,21.5,4.65,0.08602150537634397
1,14.5,,4.25,0.18823529411764703
1,21.5,21.5,4.25,0.18823529411764703
1,14.0,37.5,4.75,0.06315789473684207
1,20.0,11.5,4.25,0.18823529411764703
1,22.5,21.0,4.5,0.12222222222222218
1,30.0,28.0,4.25,0.18823529411764703
1,24.0,24.0,4.5,0.12222222222222218
1,22.0,23.0,4.75,0.06315789473684207
1,13.0,19.0,4.37,0.1556064073226544
1,5.0,7.0,4.5,0.12222222222222218
1,13.5,14.0,4.87,0.03696098562628331
1,28.0,,4.25,0.18823529411764703
1,18.0,32.0,4.25,0.18823529411764703
1,24.0,22.0,4.25,0.18823529411764703
1,16.5,14.25,4.25,0.18823529411764703
1,7.0,16.5,4.25,0.18823529411764703
1,11.0,0.0,4.25,0.18823529411764703
1,19.5,47.5,4.25,0.18823529411764703
1,10.0,15.5,4.45,0.13483146067415722
1,13.0,10.5,4.62,0.09307359307359302
1,10.0,7.0,4.25,0.18823529411764703
1,12.5,11.0,4.25,0.18823529411764703
1,8.0,8.5,4.25,0.18823529411764703
1,12.0,0.0,4.25,0.18823529411764703
1,20.5,15.0,4.5,0.12222222222222218
1,18.5,13.5,4.75,0.06315789473684207
1,11.5,12.5,4.75,0.06315789473684207
1,15.0,12.5,4.5,0.12222222222222218
1,13.0,12.5,4.75,0.06315789473684207
1,10.0,10.0,4.25,0.18823529411764703
1,17.0,13.5,4.75,0.06315789473684207
1,17.0,16.0,4.55,0.10989010989010989
1,20.5,23.5,4.8,0.052083333333333336
1,15.5,,4.75,0.06315789473684207
1,19.5,34.0,4.25,0.18823529411764703
1,30.5,32.5,4.35,0.1609195402298851
1,23.0,21.5,4.5,0.12222222222222218
1,13.0,20.0,4.39,0.15034168564920278
1,30.25,43.5,4.25,0.18823529411764703
1,18.0,17.5,4.25,0.18823529411764703
1,10.0,7.0,4.25,0.18823529411764703
1,19.5,,4.5,0.12222222222222218
1,17.0,22.0,4.62,0.09307359307359302
1,25.5,22.0,4.62,0.09307359307359302
1,6.0,7.0,4.25,0.18823529411764703
1,11.5,14.0,4.75,0.06315789473684207
1,8.5,27.0,4.62,0.09307359307359302
1,18.5,18.5,4.75,0.06315789473684207
1,15.5,11.5,4.5,0.12222222222222218
1,14.25,16.0,4.25,0.18823529411764703
1,38.0,25.0,4.5,0.12222222222222218
1,24.75,30.5,4.87,0.03696098562628331
1,23.0,11.5,4.25,0.18823529411764703
1,24.0,25.5,4.25,0.18823529411764703
1,7.5,9.5,4.62,0.09307359307359302
1,15.0,11.5,4.75,0.06315789473684207
1,9.25,12.0,4.25,0.18823529411764703
1,11.25,0.0,4.25,0.18823529411764703
1,16.5,17.0,4.75,0.06315789473684207
1,18.75,24.0,4.25,0.18823529411764703
1,13.5,,4.75,0.06315789473684207
1,21.75,,4.37,0.1556064073226544
1,13.5,13.5,4.87,0.03696098562628331
1,15.0,17.0,4.25,0.18823529411764703
1,17.5,28.0,4.25,0.18823529411764703
1,17.5,21.5,4.25,0.18823529411764703
1,,30.0,4.25,0.18823529411764703
1,15.5,19.5,4.25,0.18823529411764703
1,16.5,20.0,4.25,0.18823529411764703
1,13.5,14.5,4.5,0.12222222222222218
1,13.0,14.5,4.25,0.18823529411764703
1,11.5,0.0,4.35,0.1609195402298851
1,29.05,31.5,4.85,0.041237113402061897
1,13.0,11.5,4.5,0.12222222222222218
1,18.0,20.0,4.25,0.18823529411764703
1,30.0,34.0,4.62,0.09307359307359302
1,20.5,25.0,4.5,0.12222222222222218
1,10.0,10.0,4.5,0.12222222222222218
1,,18.0,4.65,0.08602150537634397
1,26.0,25.0,4.25,0.18823529411764703
1,12.5,23.0,4.25,0.18823529411764703
1,19.5,17.5,4.25,0.18823529411764703
1,12.0,23.0,4.62,0.09307359307359302
1,36.0,26.0,4.87,0.03696098562628331
1,21.0,16.5,4.25,0.18823529411764703
1,24.5,35.5,4.75,0.06315789473684207
1,20.0,31.0,4.87,0.03696098562628331
1,26.5,23.0,4.5,0.12222222222222218
1,15.0,22.5,4.25,0.18823529411764703
1,19.0,21.5,4.75,0.06315789473684207
1,17.5,12.0,4.32,0.16898148148148137
1,20.5,20.5,4.25,0.18823529411764703
1,21.0,25.0,4.5,0.12222222222222218
1,10.5,8.5,4.5,0.12222222222222218
1,23.0,13.0,4.25,0.18823529411764703
1,23.0,21.5,4.25,0.18823529411764703
1,29.0,23.0,4.25,0.18823529411764703
1,21.0,25.5,4.25,0.18823529411764703
1,41.5,21.5,4.25,0.18823529411764703
1,12.0,9.5,4.25,0.18823529411764703
1,33.0,36.5,4.62,0.09307359307359302
1,6.5,16.0,4.75,0.06315789473684207
1,9.0,23.75,4.95,0.02020202020202013
1,9.75,17.5,4.75,0.06315789473684207
1,24.5,20.5,4.25,0.18823529411764703
1,14.0,20.5,4.75,0.06315789473684207
1,19.5,25.0,4.62,0.09307359307359302
